BusDate,DayofWeek,OrderID,OtotSubTotal,OrdServiceType,OrdVoidDate,OrdTaxExemptID,OrdOnlineOrderID,PmtType
6/30/2023,Friday,19,36.48,3,,,,3
6/30/2023,Friday,22,30.47,1,,,2318005451358295903,3
6/30/2023,Friday,24,49.98,1,,,2318005451420552136,3
6/30/2023,Friday,25,27.96,1,,,,3
6/30/2023,Friday,26,14.74,3,,,2318005451442089549,3
6/30/2023,Friday,27,22.29,3,,,,0
6/30/2023,Friday,28,24.45,3,,,,0
6/30/2023,Friday,31,26.99,3,,,,3
6/30/2023,Friday,33,16.99,3,,,2318005451555063155,3
6/30/2023,Friday,15,45.48,1,,,,0
6/30/2023,Friday,34,27.99,3,,,2318005451603183178,3
6/30/2023,Friday,30,8.74,3,,,,0
6/30/2023,Friday,35,51.46,3,,,2318005451612584271,3
6/30/2023,Friday,36,28.47,1,,,2318005451616179855,3
6/30/2023,Friday,29,11.99,3,,,,3
6/30/2023,Friday,32,26.98,3,,,,3
6/30/2023,Friday,39,44.56,1,,,,3
6/30/2023,Friday,40,16.54,2,,,,3
6/30/2023,Friday,37,28.27,3,,,,3
6/30/2023,Friday,38,21.88,3,,,,3
6/30/2023,Friday,42,36.49,1,,,2318005451638086957,3
6/30/2023,Friday,41,29.98,3,,,,3
6/30/2023,Friday,43,28.49,3,,,2318005451648124127,3
6/30/2023,Friday,46,80.15,3,,,2318005451659025581,3
6/30/2023,Friday,47,32.97,3,,,2318005451700337577,3
6/30/2023,Friday,48,26.99,3,,,2318005451701041892,3
6/30/2023,Friday,49,20.23,1,,,2318005451701584705,3
6/30/2023,Friday,45,20.97,3,,,,3
6/30/2023,Friday,50,36.34,3,,,2318005451706481055,3
6/30/2023,Friday,51,13.47,2,,,,0
6/30/2023,Friday,52,23.97,3,,,,3
6/30/2023,Friday,53,12.94,3,,,2318005451710499936,3
6/30/2023,Friday,54,39.48,1,,,,3
6/30/2023,Friday,55,47.99,3,,,,3
6/30/2023,Friday,56,29.98,3,,,2318005451713347881,3
6/30/2023,Friday,57,39.24,1,,,2318005451713516123,3
6/30/2023,Friday,58,26.99,1,,,,3
6/30/2023,Friday,59,42.67,1,,,,3
6/30/2023,Friday,60,27.97,3,,,2318005451725377769,3
6/30/2023,Friday,61,64.6,3,,,2318005451726078442,3
6/30/2023,Friday,62,49.13,3,,,2318005451730507421,3
6/30/2023,Friday,64,19.48,1,,,2318005451732325597,3
6/30/2023,Friday,65,41.02,3,,,2318005451736291115,3
6/30/2023,Friday,66,20.73,1,,,,3
6/30/2023,Friday,67,55.97,1,,,,3
6/30/2023,Friday,68,33.49,1,,,,3
6/30/2023,Friday,69,17.98,3,,,2318005451741349976,3
6/30/2023,Friday,70,16.99,2,,,,3
6/30/2023,Friday,63,21.96,3,,,,3
6/30/2023,Friday,44,29.99,3,,,,3
6/30/2023,Friday,73,24.74,3,,,2318005451755599696,3
6/30/2023,Friday,74,51.86,3,,,2318005451757082627,3
6/30/2023,Friday,76,27.48,1,,,2318005451805212525,3
6/30/2023,Friday,77,32.77,1,,,,3
6/30/2023,Friday,71,26.99,3,,,,3
6/30/2023,Friday,78,44.47,1,,,2318005451808509786,3
6/30/2023,Friday,72,10.99,3,,,,3
6/30/2023,Friday,81,59.25,3,,,2318005451823263131,3
6/30/2023,Friday,83,21.33,1,,,,3
6/30/2023,Friday,86,24.97,1,,,,3
6/30/2023,Friday,82,15.99,3,,,,3
6/30/2023,Friday,79,28.56,3,,,,3
6/30/2023,Friday,80,6.79,3,,,,0
6/30/2023,Friday,88,6.99,3,,,2318005451835103197,3
6/30/2023,Friday,89,27.48,1,,,,3
6/30/2023,Friday,75,40.98,3,,,,0
6/30/2023,Friday,90,66.45,1,,,,3
6/30/2023,Friday,87,33.22,3,,,,0
6/30/2023,Friday,92,20.37,3,,,2318005451846375949,3
6/30/2023,Friday,84,14.14,3,,,,0
6/30/2023,Friday,93,31.48,1,,,2318005451850521737,3
6/30/2023,Friday,94,10.99,3,,,2318005451853406428,3
6/30/2023,Friday,96,37.98,3,,,2318005451857594399,3
6/30/2023,Friday,98,33.35,3,,,2318005451859441094,3
6/30/2023,Friday,100,34.88,3,,,2318005451904034653,3
6/30/2023,Friday,101,28.71,1,,,2318005451904057002,3
6/30/2023,Friday,91,29.99,3,,,,3
6/30/2023,Friday,95,18.97,3,,,,0
6/30/2023,Friday,102,17.78,3,,,2318005451908231811,3
6/30/2023,Friday,104,46.95,3,,,2318005451914284668,3
6/30/2023,Friday,105,33.41,1,,,,3
6/30/2023,Friday,97,36.68,3,,,,3
6/30/2023,Friday,108,26.46,1,,,2318005451918438002,3
6/30/2023,Friday,85,11.99,1,,,,0
6/30/2023,Friday,110,18.24,3,,,2318005451922093809,3
6/30/2023,Friday,112,26.99,3,,,2318005451926226386,3
6/30/2023,Friday,113,52.27,1,,,2318005451927029257,3
6/30/2023,Friday,115,18.98,3,,,2318005451928356267,3
6/30/2023,Friday,99,16.93,3,,,,3
6/30/2023,Friday,116,24.67,1,,,2318005451931235733,3
6/30/2023,Friday,118,47.26,3,,,2318005451934049354,3
6/30/2023,Friday,119,69.97,1,,,,0
6/30/2023,Friday,109,22.23,3,,,,3
6/30/2023,Friday,122,28.49,1,,,2318005451945506019,3
6/30/2023,Friday,114,24.48,3,,,,3
6/30/2023,Friday,123,28.47,3,,,2318005451946548217,3
6/30/2023,Friday,124,28.43,3,,,2318005451947373804,3
6/30/2023,Friday,111,18.64,3,,,,0
6/30/2023,Friday,120,26.53,3,,,,3
6/30/2023,Friday,121,9.99,3,,,,3
6/30/2023,Friday,127,26.99,3,,,,3
6/30/2023,Friday,128,85.72,1,,,,3
6/30/2023,Friday,129,34.73,1,,,,3
6/30/2023,Friday,130,34.48,1,,,,3
6/30/2023,Friday,126,19.78,3,,,,0
6/30/2023,Friday,131,32.16,1,,,2318005452040058807,3
6/30/2023,Friday,132,26.98,1,,,2318005452050027874,3
6/30/2023,Friday,133,17.73,3,,,2318005452051503498,3
6/30/2023,Friday,134,19.48,1,,,,3
6/30/2023,Friday,135,26.99,1,,,,3
6/30/2023,Friday,136,122.4,1,,,2318005452101263375,3
6/30/2023,Friday,137,10.79,2,,,,0
6/30/2023,Friday,138,42.56,1,,,2318005452108282181,3
6/30/2023,Friday,139,18.97,1,,,,3
6/30/2023,Friday,140,21.35,1,,,2318005452114374371,3
6/30/2023,Friday,142,9.64,2,,,,3
6/30/2023,Friday,145,29.99,1,,,,3
6/30/2023,Friday,146,36.98,3,,,,3
6/30/2023,Friday,144,25.74,3,,,,3
6/30/2023,Friday,143,15.99,3,,,,0
